metric,value,unit
baseline_throughput,94231577.36,bytes_per_second
hidewg_throughput,2381947.01,bytes_per_second
throughput_retention,0.025278,ratio
latency_increase,0.152636,ms_per_packet
bandwidth_expansion,1.378284,ratio
bandwidth_expansion_vs_baseline,1.36366,ratio
cpu_overhead,166.3,percent_of_one_core
memory_peak,199726,bytes
completed_packets,240,packets
loss_1pct_completion,0.985,ratio
loss_3pct_completion,0.965,ratio
loss_5pct_completion,0.915,ratio
concurrency_stability,1.0,pass_ratio
baseline_cpu_time,0.0,seconds
hidewg_cpu_time,0.0625,seconds
data_source,artifacts\raw_wireguard.pcap,pcap_file
